order_id,customer_id,product,category,quantity,unit_price,discount,revenue,order_date,month,quarter
ORD00045,C0163,Mouse,Accessories,1,72.34,0.12,63.66,2023-12-23,December,Q4
ORD00046,C0121,Smartwatch,Wearables,1,399.36,0.09,363.42,2023-04-12,April,Q2
ORD00047,C0051,Smartphone,Electronics,3,566.21,0.18,1392.88,2023-08-29,August,Q3
ORD00048,C0024,Monitor,Electronics,3,598.07,0.07,1668.62,2023-11-17,November,Q4
ORD00049,C0221,Headphones,Accessories,4,98.84,0.11,351.87,2023-07-10,July,Q3
ORD00050,C0406,Headphones,Accessories,1,84.0,0.12,73.92,2023-08-05,August,Q3
ORD00051,C0196,Speaker,Audio,4,264.45,0.18,867.4,2023-02-20,February,Q1
ORD00052,C0074,Tablet,Electronics,3,384.46,0.09,1049.58,2023-10-19,October,Q4
ORD00053,C0342,Laptop,Electronics,4,1698.91,0.18,5572.42,2023-03-22,March,Q1
ORD00054,C0347,Webcam,Accessories,4,82.12,0.19,266.07,2023-03-29,March,Q1
ORD00055,C0301,Smartwatch,Wearables,4,309.73,0.14,1065.47,2023-07-13,July,Q3
ORD00056,C0234,Smartwatch,Wearables,4,199.8,0.17,663.34,2023-04-14,April,Q2
ORD00057,C0055,Tablet,Electronics,3,352.55,0.11,941.31,2023-09-28,September,Q3
ORD00058,C0359,Smartwatch,Wearables,4,155.48,0.05,590.82,2023-04-06,April,Q2
ORD00059,C0290,Laptop,Electronics,4,1710.62,0.17,5679.26,2023-07-17,July,Q3
ORD00060,C0463,Smartwatch,Wearables,2,343.94,0.12,605.33,2023-01-01,January,Q1
ORD00061,C0181,Tablet,Electronics,5,454.65,0.05,2159.59,2023-06-16,June,Q2
ORD00062,C0387,Headphones,Accessories,1,175.65,0.06,165.11,2023-05-06,May,Q2
ORD00063,C0226,Laptop,Electronics,2,1379.57,0.02,2703.96,2023-11-09,November,Q4
ORD00064,C0152,Monitor,Electronics,2,573.74,0.04,1101.58,2023-03-22,March,Q1
ORD00065,C0403,Webcam,Accessories,3,182.7,0.11,487.81,2023-09-08,September,Q3
ORD00066,C0468,Smartwatch,Wearables,3,357.62,0.18,879.75,2023-06-18,June,Q2
ORD00067,C0484,Mouse,Accessories,3,78.04,0.15,199.0,2023-03-14,March,Q1
ORD00068,C0174,Smartphone,Electronics,1,581.0,0.03,563.57,2023-05-21,May,Q2
ORD00069,C0495,Tablet,Electronics,4,544.06,0.19,1762.75,2023-03-11,March,Q1
ORD00070,C0412,Webcam,Accessories,4,111.21,0.0,444.84,2023-09-19,September,Q3
ORD00071,C0275,Smartphone,Electronics,3,572.87,0.12,1512.38,2023-12-06,December,Q4
ORD00072,C0422,Monitor,Electronics,2,254.17,0.09,462.59,2023-11-04,November,Q4
ORD00073,C0318,Webcam,Accessories,5,105.92,0.04,508.42,2023-09-02,September,Q3
ORD00074,C0033,Mouse,Accessories,3,74.56,0.13,194.6,2023-01-03,January,Q1
ORD00075,C0060,Headphones,Accessories,1,59.07,0.06,55.53,2023-12-03,December,Q4
ORD00076,C0253,Smartphone,Electronics,5,358.32,0.03,1737.85,2023-03-04,March,Q1
ORD00077,C0233,Monitor,Electronics,5,535.24,0.08,2462.1,2023-02-18,February,Q1
ORD00078,C0381,Headphones,Accessories,1,227.08,0.17,188.48,2023-03-17,March,Q1
ORD00079,C0316,Keyboard,Accessories,3,142.69,0.01,423.79,2023-06-24,June,Q2
ORD00080,C0190,Tablet,Electronics,2,377.35,0.17,626.4,2023-04-19,April,Q2
ORD00081,C0051,Monitor,Electronics,3,472.23,0.01,1402.52,2023-07-02,July,Q3
ORD00082,C0142,Tablet,Electronics,4,587.28,0.02,2302.14,2023-07-11,July,Q3
ORD00083,C0109,Speaker,Audio,1,342.2,0.16,287.45,2023-03-06,March,Q1
ORD00084,C0125,Headphones,Accessories,2,207.4,0.01,410.65,2023-12-03,December,Q4
ORD00085,C0392,Webcam,Accessories,2,89.0,0.16,149.52,2023-09-28,September,Q3
ORD00086,C0120,Monitor,Electronics,5,587.18,0.0,2935.9,2023-04-10,April,Q2
ORD00087,C0440,Headphones,Accessories,5,247.51,0.05,1175.67,2023-02-01,February,Q1
ORD00088,C0090,Smartphone,Electronics,1,696.63,0.03,675.73,2023-12-18,December,Q4
ORD00089,C0184,Tablet,Electronics,1,435.54,0.03,422.47,2023-05-08,May,Q2
ORD00090,C0027,Headphones,Accessories,5,198.34,0.02,971.87,2023-12-05,December,Q4
ORD00091,C0033,Mouse,Accessories,3,46.9,0.1,126.63,2023-02-12,February,Q1
ORD00092,C0056,Mouse,Accessories,5,50.23,0.01,248.64,2023-03-19,March,Q1
ORD00093,C0402,Webcam,Accessories,1,102.23,0.01,101.21,2023-11-10,November,Q4
ORD00094,C0246,Keyboard,Accessories,1,81.15,0.1,73.04,2023-10-16,October,Q4
ORD00095,C0466,Mouse,Accessories,1,24.41,0.06,22.95,2023-09-27,September,Q3
ORD00096,C0076,Smartphone,Electronics,5,375.71,0.13,1634.34,2023-06-11,June,Q2
ORD00097,C0281,Monitor,Electronics,5,390.45,0.11,1737.5,2023-07-08,July,Q3
ORD00098,C0233,Webcam,Accessories,1,144.76,0.16,121.6,2023-09-04,September,Q3
ORD00099,C0059,Webcam,Accessories,2,160.92,0.09,292.87,2023-08-04,August,Q3
ORD00100,C0455,Tablet,Electronics,4,365.53,0.08,1345.15,2023-11-11,November,Q4
