Property_ID,Area,Bedrooms,Bathrooms,Age,Location,Property_Type,Price,Price_Lakhs,Price_Per_Sqft,Age_Bin
PROP0042,4027,5,3,47,Suburb,Villa,36427500,364.275,9045.815743729823,Old
PROP0043,2137,2,2,47,City Center,Villa,22670000,226.7,10608.32943378568,Old
PROP0044,4317,1,3,20,City Center,Apartment,46170000,461.7,10694.92703266157,Mid
PROP0045,4498,1,2,9,Rural,Villa,24040000,240.4,5344.597598932859,Young
PROP0046,793,3,1,43,City Center,House,10630000,106.3,13404.791929382094,Old
PROP0047,2129,2,3,34,Suburb,House,18667500,186.675,8768.20103334899,Old
PROP0048,4572,4,2,24,Rural,Apartment,26660000,266.6,5831.146106736658,Mid
PROP0049,3770,3,1,25,Rural,Villa,21100000,211.0,5596.816976127321,Mid
PROP0050,851,4,2,46,Suburb,House,10432500,104.325,12259.106933019977,Old
PROP0051,2362,5,2,47,Rural,House,15460000,154.6,6545.300592718036,Old
PROP0052,2925,3,1,28,Rural,Villa,16725000,167.25,5717.948717948718,Mid
PROP0053,3114,1,2,1,City Center,House,35040000,350.4,11252.408477842004,New
PROP0054,3611,4,2,24,Rural,Villa,21855000,218.55,6052.3400720022155,Mid
PROP0055,3622,2,3,1,Suburb,Apartment,32340000,323.4,8928.768636112645,New
PROP0056,3309,4,1,37,Suburb,Villa,28792500,287.925,8701.269265639166,Old
PROP0057,535,1,2,11,Rural,Villa,4125000,41.25,7710.280373831775,Young
PROP0058,4376,5,1,30,Suburb,Villa,38820000,388.2,8871.115173674589,Mid
PROP0059,3274,1,3,8,City Center,Villa,36940000,369.4,11282.834453268173,Young
PROP0060,3911,3,1,17,City Center,House,44410000,444.1,11355.152135003835,Mid
PROP0061,3964,5,2,10,Rural,House,25320000,253.2,6387.487386478305,Young
PROP0062,3984,5,1,19,Rural,House,24470000,244.7,6142.068273092369,Mid
PROP0063,4802,5,1,9,Rural,House,29060000,290.6,6051.645147855061,Young
PROP0064,4730,3,2,28,Rural,Apartment,26250000,262.5,5549.6828752642705,Mid
PROP0065,4208,4,2,45,Rural,House,23790000,237.9,5653.51711026616,Old
PROP0066,3255,5,2,21,Suburb,Apartment,31837500,318.375,9781.10599078341,Mid
PROP0067,1446,1,2,32,Suburb,House,11445000,114.45,7914.9377593361,Old
PROP0068,3986,4,3,40,Rural,Apartment,23430000,234.3,5878.073256397391,Old
PROP0069,1690,4,3,44,Rural,Villa,11750000,117.5,6952.662721893491,Old
PROP0070,3147,3,3,34,Rural,House,18535000,185.35,5889.736256752462,Old
PROP0071,2353,2,3,38,Suburb,Apartment,20047500,200.475,8519.974500637483,Old
PROP0072,937,5,3,20,City Center,House,20370000,203.7,21739.594450373534,Mid
PROP0073,2607,1,2,30,Suburb,House,20302500,203.025,7787.686996547756,Mid
PROP0074,3954,1,3,38,Suburb,Villa,30555000,305.55,7727.617602427921,Old
PROP0075,1350,1,1,42,Rural,Villa,6150000,61.5,4555.555555555556,Old
PROP0076,2314,3,3,26,Rural,Villa,14770000,147.7,6382.886776145203,Mid
PROP0077,1748,4,1,43,City Center,Villa,22180000,221.8,12688.787185354691,Old
PROP0078,2567,1,2,44,Suburb,Villa,18952500,189.525,7383.132060771329,Old
PROP0079,1881,2,1,7,City Center,Apartment,23110000,231.1,12286.01807549176,Young
PROP0080,4418,2,1,24,Rural,House,23390000,233.9,5294.250792213671,Mid
PROP0081,3635,1,3,35,Rural,Villa,18925000,189.25,5206.327372764787,Old
PROP0082,2916,3,2,31,Suburb,House,25545000,255.45,8760.28806584362,Old
PROP0083,1780,1,3,32,Suburb,Apartment,14700000,147.0,8258.426966292134,Old
PROP0084,2661,3,2,17,Suburb,House,24682500,246.825,9275.648252536641,Mid
PROP0085,2836,5,3,16,Rural,Villa,19880000,198.8,7009.873060648801,Mid
PROP0086,4829,1,1,48,Suburb,Apartment,34867500,348.675,7220.439014288672,Old
PROP0087,2517,3,2,33,City Center,Apartment,29870000,298.7,11867.30234406039,Old
PROP0088,2900,3,2,48,Rural,House,16100000,161.0,5551.724137931034,Old
PROP0089,1678,4,3,24,Suburb,House,19035000,190.35,11343.861740166865,Mid
PROP0090,4690,4,3,1,Suburb,House,43350000,433.5,9243.070362473347,New
PROP0091,3279,2,2,29,Rural,Apartment,17945000,179.45,5472.705093016163,Mid
PROP0092,520,4,1,29,Rural,Apartment,5650000,56.5,10865.384615384615,Mid
PROP0093,3351,3,2,47,Rural,Apartment,18405000,184.05,5492.3903312444045,Old
PROP0094,1273,2,2,3,Rural,Villa,9215000,92.15,7238.805970149254,New
PROP0095,4642,4,2,26,City Center,Villa,53820000,538.2,11594.140456699699,Mid
PROP0096,3083,4,2,5,Rural,Apartment,20165000,201.65,6540.707103470645,New
PROP0097,3347,5,1,22,Suburb,House,31702500,317.025,9471.915147893636,Mid
PROP0098,4822,5,3,15,Suburb,Apartment,44790000,447.9,9288.676897552883,Young
PROP0099,3356,5,2,17,Suburb,Apartment,32895000,328.95,9801.847437425507,Mid
PROP0100,4436,2,1,0,Suburb,House,37020000,370.2,8345.356176735799,New
PROP0101,3592,2,3,30,Suburb,House,29940000,299.4,8335.189309576837,Mid
PROP0102,1058,3,3,20,Suburb,Villa,13185000,131.85,12462.19281663516,Mid
PROP0103,1102,5,2,36,City Center,Apartment,19420000,194.2,17622.50453720508,Old
PROP0104,2070,1,1,12,Rural,Apartment,11250000,112.5,5434.782608695652,Young
PROP0105,2957,4,1,22,City Center,House,36370000,363.7,12299.628001352723,Mid
PROP0106,3008,4,3,42,City Center,Villa,36880000,368.8,12260.63829787234,Old
PROP0107,1325,3,3,7,City Center,House,21550000,215.5,16264.150943396226,Young
PROP0108,4074,1,3,32,City Center,Apartment,42540000,425.4,10441.82621502209,Old
PROP0109,4621,4,2,45,City Center,Apartment,51710000,517.1,11190.21856740965,Old
PROP0110,3167,5,2,25,City Center,House,41170000,411.7,12999.684243763815,Mid
PROP0111,1990,1,3,42,City Center,House,20700000,207.0,10402.010050251256,Old
PROP0112,4756,2,3,34,Suburb,House,38370000,383.7,8067.703952901598,Old
PROP0113,1726,4,2,21,City Center,Villa,25160000,251.6,14577.056778679027,Mid
PROP0114,4814,5,2,8,Rural,Apartment,29670000,296.7,6163.27378479435,Young
PROP0115,2919,2,3,20,Suburb,Apartment,25642500,256.425,8784.686536485098,Mid
PROP0116,3539,3,1,45,City Center,House,37890000,378.9,10706.414241311104,Old
PROP0117,3193,1,2,22,Rural,Villa,16865000,168.65,5281.866583150642,Mid
PROP0118,1519,1,2,11,Suburb,Villa,13567500,135.675,8931.863067807768,Young
PROP0119,4360,4,1,12,Suburb,Villa,38550000,385.5,8841.743119266055,Young
PROP0120,1496,3,1,31,Suburb,House,14145000,141.45,9455.213903743315,Old
PROP0121,4632,1,2,7,Suburb,Apartment,37215000,372.15,8034.326424870466,Young
PROP0122,1669,3,3,26,Suburb,Villa,17317500,173.175,10375.973636908328,Mid
PROP0123,2836,4,1,26,City Center,Villa,34760000,347.6,12256.699576868828,Mid
PROP0124,4399,1,2,8,Suburb,Apartment,35392500,353.925,8045.578540577404,Young
PROP0125,1578,5,3,34,Suburb,House,19035000,190.35,12062.737642585551,Old
PROP0126,3088,1,1,31,City Center,House,30780000,307.8,9967.616580310882,Old
PROP0127,1777,5,3,21,Suburb,Villa,21502500,215.025,12100.45019696117,Mid
PROP0128,1055,1,2,35,Suburb,House,8287500,82.875,7855.450236966824,Old
PROP0129,3947,4,3,3,Suburb,Apartment,37627500,376.275,9533.189764378008,New
PROP0130,3794,4,2,26,City Center,Apartment,45340000,453.4,11950.448075909331,Mid
PROP0131,1053,2,2,31,Rural,House,6715000,67.15,6377.01804368471,Old
PROP0132,2226,4,2,23,Suburb,House,22470000,224.7,10094.33962264151,Mid
PROP0133,3823,4,3,36,City Center,Villa,45630000,456.3,11935.65262882553,Old
PROP0134,952,1,3,38,City Center,House,10720000,107.2,11260.504201680673,Old
PROP0135,3275,1,2,47,Suburb,Villa,24037500,240.375,7339.694656488549,Old
PROP0136,1075,1,2,1,Rural,Villa,7325000,73.25,6813.953488372093,New
PROP0137,1317,2,3,36,City Center,House,16570000,165.7,12581.62490508732,Old
PROP0138,4029,4,2,42,Suburb,House,34567500,345.675,8579.672375279226,Old
PROP0139,3404,5,1,20,City Center,Villa,43040000,430.4,12643.94829612221,Mid
PROP0140,3204,1,1,49,City Center,Apartment,30140000,301.4,9406.991260923845,Old
PROP0141,1884,4,3,22,City Center,House,27640000,276.4,14670.912951167727,Mid
PROP0142,964,5,1,31,Rural,Apartment,8770000,87.7,9097.510373443984,Old
PROP0143,4433,1,3,27,Rural,House,23315000,233.15,5259.418001353485,Mid
PROP0144,2042,4,3,32,Rural,Apartment,14110000,141.1,6909.892262487757,Old
PROP0145,746,5,3,6,Rural,House,9930000,99.3,13310.991957104558,Young
PROP0146,2537,4,3,44,Suburb,Villa,23977500,239.775,9451.123374063854,Old
PROP0147,3788,5,2,34,City Center,Villa,46480000,464.8,12270.327349524816,Old
PROP0148,1650,4,3,30,Suburb,Villa,18375000,183.75,11136.363636363636,Mid
PROP0149,1584,5,1,4,Rural,House,13220000,132.2,8345.959595959595,New
PROP0150,3469,4,2,27,City Center,Apartment,41990000,419.9,12104.352839434996,Mid
PROP0151,3444,1,3,42,Suburb,House,26430000,264.3,7674.216027874564,Old
PROP0152,1025,4,2,4,Rural,Villa,9925000,99.25,9682.926829268292,New
PROP0153,4378,5,3,28,City Center,Villa,53980000,539.8,12329.830973047054,Mid
PROP0154,2937,5,2,9,Rural,Apartment,20235000,202.35,6889.683350357508,Young
PROP0155,742,5,2,46,City Center,Apartment,14820000,148.2,19973.045822102427,Old
PROP0156,2683,5,2,18,City Center,House,37030000,370.3,13801.71449869549,Mid
PROP0157,1743,1,2,44,City Center,House,17030000,170.3,9770.510613884107,Old
PROP0158,4641,1,1,16,Suburb,Apartment,35857500,358.575,7726.244343891402,Mid
PROP0159,3619,5,1,18,Suburb,Apartment,34042500,340.425,9406.604034263608,Mid
PROP0160,2394,2,2,40,City Center,House,25940000,259.4,10835.421888053466,Old
PROP0161,1223,3,3,17,City Center,House,19530000,195.3,15968.928863450532,Mid
PROP0162,2078,3,3,47,Rural,Villa,12540000,125.4,6034.648700673724,Old
PROP0163,3559,4,3,24,Suburb,Apartment,33142500,331.425,9312.306827760607,Mid
PROP0164,4680,4,2,49,City Center,House,51900000,519.0,11089.74358974359,Old
PROP0165,3786,1,2,27,Rural,Apartment,19580000,195.8,5171.6851558372955,Mid
PROP0166,1172,4,1,16,Rural,Villa,9560000,95.6,8156.996587030717,Mid
PROP0167,2514,3,3,21,Suburb,House,24030000,240.3,9558.472553699285,Mid
PROP0168,4875,1,3,49,Rural,House,24425000,244.25,5010.25641025641,Old
PROP0169,4722,1,1,29,City Center,Villa,47320000,473.2,10021.177467174926,Mid
PROP0170,3864,5,2,29,City Center,Apartment,47740000,477.4,12355.072463768116,Mid
PROP0171,4574,2,1,32,Suburb,Apartment,35655000,356.55,7795.146480104941,Old
PROP0172,1101,1,3,49,City Center,House,11110000,111.1,10090.826521344232,Old
PROP0173,4510,2,2,47,Suburb,Villa,34800000,348.0,7716.1862527716185,Old
PROP0174,814,4,1,48,Suburb,Apartment,9255000,92.55,11369.77886977887,Old
PROP0175,3781,3,3,8,Rural,Apartment,23005000,230.05,6084.36921449352,Young
PROP0176,3663,2,1,14,Suburb,House,30172500,301.725,8237.100737100736,Young
PROP0177,4097,3,3,15,Rural,House,24235000,242.35,5915.303880888455,Young
PROP0178,2528,2,1,10,Rural,Apartment,14640000,146.4,5791.139240506329,Young
PROP0179,1680,5,3,16,Suburb,Apartment,21150000,211.5,12589.285714285714,Mid
PROP0180,3451,2,2,39,City Center,Apartment,36610000,366.1,10608.519269776876,Old
PROP0181,2493,2,2,48,Suburb,Villa,19597500,195.975,7861.01083032491,Old
PROP0182,1699,4,1,43,Suburb,Apartment,16267500,162.675,9574.74985285462,Old
PROP0183,4842,1,1,3,City Center,Apartment,51120000,511.2,10557.620817843866,New
PROP0184,4127,4,1,8,Suburb,Villa,37102500,371.025,8990.186576205477,Young
PROP0185,1952,2,2,6,Suburb,House,18690000,186.9,9574.795081967213,Young
PROP0186,3539,5,1,37,Suburb,House,32017500,320.175,9047.047188471319,Old
PROP0187,715,1,1,32,Suburb,Villa,5212500,52.125,7290.20979020979,Old
PROP0188,1804,1,1,45,Suburb,Villa,12405000,124.05,6876.385809312638,Old
PROP0189,3574,2,3,22,Suburb,Apartment,30405000,304.05,8507.274762171237,Mid
PROP0190,1832,4,3,35,City Center,Villa,25820000,258.2,14093.886462882096,Old
PROP0191,1569,5,1,21,City Center,Villa,24590000,245.9,15672.402804333971,Mid
PROP0192,1104,1,3,46,Rural,Apartment,5720000,57.2,5181.159420289855,Old
PROP0193,1181,5,1,13,Rural,Villa,10755000,107.55,9106.689246401354,Young
PROP0194,4871,4,1,4,City Center,Villa,57310000,573.1,11765.551221515088,New
PROP0195,2214,1,3,29,Rural,Apartment,12120000,121.2,5474.254742547426,Mid
PROP0196,2081,5,3,34,Suburb,Villa,22807500,228.075,10959.875060067276,Old
PROP0197,1795,1,2,31,City Center,Villa,18850000,188.5,10501.392757660167,Old
PROP0198,909,3,1,6,Suburb,House,11617500,116.175,12780.52805280528,Young
PROP0199,4285,2,3,34,City Center,House,46450000,464.5,10840.140023337222,Old
PROP0200,3091,2,2,45,Rural,House,16205000,162.05,5242.639922355225,Old
PROP0201,2378,4,1,11,Rural,Villa,15840000,158.4,6661.0597140454165,Young
PROP0202,4191,3,1,5,City Center,Villa,48410000,484.1,11550.942495824385,New
PROP0203,746,4,1,5,Suburb,Villa,11970000,119.7,16045.576407506702,New
PROP0204,623,1,1,3,City Center,House,8930000,89.3,14333.8683788122,New
PROP0205,2780,1,1,32,City Center,Apartment,27600000,276.0,9928.057553956834,Old
PROP0206,4316,4,2,3,City Center,Apartment,52860000,528.6,12247.451343836887,New
PROP0207,2924,5,1,31,Suburb,Apartment,27855000,278.55,9526.333789329685,Old
PROP0208,1888,4,1,6,City Center,House,27280000,272.8,14449.152542372882,Young
PROP0209,623,1,2,47,City Center,House,5530000,55.3,8876.404494382023,Old
PROP0210,747,2,3,37,Rural,House,5385000,53.85,7208.835341365462,Old
PROP0211,1206,2,3,29,City Center,House,16160000,161.6,13399.668325041459,Mid
PROP0212,4591,1,1,47,City Center,Villa,44210000,442.1,9629.710302766282,Old
PROP0213,4488,5,2,10,City Center,House,55880000,558.8,12450.980392156862,Young
PROP0214,2445,3,3,24,Rural,House,15525000,155.25,6349.693251533742,Mid
PROP0215,1963,3,2,34,Rural,Apartment,12115000,121.15,6171.676006113093,Old
PROP0216,2507,4,3,11,City Center,House,34970000,349.7,13948.942959712804,Young
PROP0217,1451,5,3,31,City Center,Villa,24410000,244.1,16822.88077188146,Old
PROP0218,4812,5,2,8,Suburb,Apartment,44490000,444.9,9245.635910224439,Young
PROP0219,3713,4,3,46,Rural,Villa,21765000,217.65,5861.836789657958,Old
PROP0220,1113,1,2,41,Suburb,House,8272500,82.725,7432.614555256065,Old
PROP0221,3611,3,3,27,Suburb,Apartment,31807500,318.075,8808.501800055386,Mid
PROP0222,3343,2,2,47,City Center,Villa,34730000,347.3,10388.872270415794,Old
PROP0223,2479,3,3,32,Suburb,Apartment,22942500,229.425,9254.739814441307,Old
PROP0224,2221,3,3,10,Suburb,Apartment,22657500,226.575,10201.48581719946,Young
PROP0225,779,2,2,21,City Center,Villa,11690000,116.9,15006.418485237484,Mid
PROP0226,899,1,2,36,City Center,House,9390000,93.9,10444.938820912124,Old
PROP0227,2255,5,2,27,City Center,Villa,31850000,318.5,14124.168514412417,Mid
PROP0228,2771,3,1,4,Rural,House,17155000,171.55,6190.905810176831,New
PROP0229,4610,5,3,4,City Center,House,58700000,587.0,12733.188720173535,New
PROP0230,3396,1,3,20,City Center,Apartment,36960000,369.6,10883.39222614841,Mid
PROP0231,2643,4,3,21,City Center,Apartment,35330000,353.3,13367.385546727204,Mid
PROP0232,1479,1,1,9,City Center,Apartment,16890000,168.9,11419.878296146044,Young
PROP0233,3511,5,2,45,City Center,Villa,42610000,426.1,12136.143548846483,Old
PROP0234,2862,1,2,38,Suburb,Apartment,21615000,216.15,7552.410901467505,Old
PROP0235,839,2,2,7,City Center,Villa,13690000,136.9,16317.04410011919,Young
PROP0236,4256,1,1,2,Suburb,Villa,34020000,340.2,7993.421052631579,New
PROP0237,4290,4,3,27,Rural,Apartment,25600000,256.0,5967.365967365968,Mid
PROP0238,3196,4,3,2,Suburb,Villa,32070000,320.7,10034.41802252816,New
PROP0239,3075,4,2,35,City Center,Apartment,37250000,372.5,12113.821138211382,Old
PROP0240,912,3,1,49,City Center,House,11220000,112.2,12302.631578947368,Old
PROP0241,4659,5,2,37,Rural,Apartment,27445000,274.45,5890.749087787079,Old
PROP0242,1244,1,3,2,Rural,Villa,8620000,86.2,6929.260450160772,New
PROP0243,3479,1,1,19,Rural,Villa,17945000,179.45,5158.091405576315,Mid
PROP0244,1081,4,2,8,Rural,Apartment,10005000,100.05,9255.31914893617,Young
PROP0245,4079,1,2,36,Rural,Villa,20595000,205.95,5049.031625398382,Old
PROP0246,1454,3,1,27,City Center,Villa,18840000,188.4,12957.359009628612,Mid
PROP0247,589,2,1,35,Rural,Villa,3695000,36.95,6273.344651952461,Old
PROP0248,1370,4,2,8,City Center,Apartment,22900000,229.0,16715.328467153286,Young
PROP0249,3711,3,3,42,Suburb,House,31432500,314.325,8470.088924818108,Old
PROP0250,3558,1,3,23,Rural,House,19140000,191.4,5379.426644182125,Mid
PROP0251,2065,2,2,44,City Center,House,22250000,222.5,10774.818401937046,Old
PROP0252,1962,2,3,22,Rural,Villa,12210000,122.1,6223.241590214067,Mid
PROP0253,749,5,1,33,Suburb,House,11392500,113.925,15210.280373831776,Old
PROP0254,2651,3,1,15,Rural,Apartment,16005000,160.05,6037.3443983402485,Young
PROP0255,1203,4,3,49,Suburb,House,13597500,135.975,11302.992518703242,Old
PROP0256,2576,4,2,2,City Center,Villa,35560000,355.6,13804.347826086956,New
PROP0257,3706,5,1,4,City Center,House,47660000,476.6,12860.226659471127,New
PROP0258,2306,3,1,25,Suburb,Villa,20670000,206.7,8963.57328707719,Mid
PROP0259,4840,2,2,8,Suburb,Villa,40200000,402.0,8305.785123966942,Young
PROP0260,2324,2,3,34,Suburb,Villa,20130000,201.3,8661.790017211704,Old
PROP0261,1879,5,1,28,Suburb,House,20242500,202.425,10773.017562533263,Mid
PROP0262,795,5,1,28,City Center,Villa,16150000,161.5,20314.46540880503,Mid
PROP0263,3594,5,3,14,Suburb,Villa,35655000,356.55,9920.701168614358,Young
PROP0264,4560,5,3,17,Suburb,Villa,42675000,426.75,9358.552631578947,Mid
PROP0265,1800,3,2,18,Rural,Villa,12100000,121.0,6722.222222222223,Mid
PROP0266,3240,4,3,39,Suburb,Apartment,29625000,296.25,9143.518518518518,Old
PROP0267,3457,1,2,24,Rural,Villa,18085000,180.85,5231.414521261209,Mid
PROP0268,833,5,2,39,Suburb,Villa,12322500,123.225,14792.917166866746,Old
PROP0269,3936,5,2,13,Rural,House,25030000,250.3,6359.247967479675,Young
PROP0270,4496,4,3,34,City Center,House,52560000,525.6,11690.391459074734,Old
PROP0271,1678,4,2,5,Suburb,Apartment,19710000,197.1,11746.126340882003,New
PROP0272,613,4,3,20,Rural,House,7565000,75.65,12340.94616639478,Mid
PROP0273,2371,5,2,2,Rural,House,17755000,177.55,7488.401518346689,New
PROP0274,1261,3,2,18,Rural,House,9405000,94.05,7458.366375892149,Mid
PROP0275,3367,3,1,48,Rural,House,17935000,179.35,5326.7003267003265,Old
PROP0276,1181,5,3,45,Rural,Villa,10155000,101.55,8598.645215918714,Old
PROP0277,1295,5,2,32,Rural,House,10875000,108.75,8397.683397683397,Old
PROP0278,3117,1,2,19,Rural,Villa,16635000,166.35,5336.862367661212,Mid
PROP0279,1801,3,1,14,Suburb,House,17707500,177.075,9832.037756801778,Young
PROP0280,2795,1,1,39,Rural,Apartment,13525000,135.25,4838.998211091234,Old
PROP0281,3594,2,2,25,Rural,Apartment,19720000,197.2,5486.922648859209,Mid
PROP0282,3715,2,2,20,Rural,House,20575000,205.75,5538.35800807537,Mid
PROP0283,4523,2,2,42,Suburb,House,35272500,352.725,7798.474463851426,Old
PROP0284,4746,5,1,22,City Center,Apartment,56260000,562.6,11854.193004635483,Mid
PROP0285,3328,4,1,18,City Center,Apartment,40480000,404.8,12163.461538461539,Mid
PROP0286,2503,3,2,42,City Center,House,28830000,288.3,11518.178186176588,Old
PROP0287,4733,5,1,39,City Center,Apartment,54430000,544.3,11500.10564124234,Old
PROP0288,3200,2,2,32,Suburb,House,26100000,261.0,8156.25,Old
PROP0289,3390,2,3,40,City Center,Apartment,36900000,369.0,10884.955752212389,Old
PROP0290,1637,4,3,40,Rural,Apartment,11685000,116.85,7138.057422113622,Old
PROP0291,2307,4,2,36,Rural,Villa,14735000,147.35,6387.082791504118,Old
PROP0292,1462,4,3,26,Rural,House,11510000,115.1,7872.777017783857,Mid
PROP0293,879,1,3,11,City Center,Apartment,12690000,126.9,14436.860068259386,Young
PROP0294,4917,2,1,2,City Center,House,53970000,539.7,10976.20500305064,New
PROP0295,2157,2,3,42,Rural,House,12185000,121.85,5649.049605934168,Old
PROP0296,1450,4,1,0,Suburb,Villa,17625000,176.25,12155.172413793103,New
PROP0297,3866,1,2,16,City Center,Apartment,41060000,410.6,10620.796689084325,Mid
PROP0298,1970,3,1,6,Rural,Apartment,13050000,130.5,6624.365482233503,Young
PROP0299,4243,3,2,7,Rural,Villa,24865000,248.65,5860.2403959462645,Young
PROP0300,2013,1,2,19,Suburb,Apartment,16672500,166.725,8282.41430700447,Mid
